Protocol,Source IP Address,Source Port,Destination IP Address,Destination Port,Captured Length 
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1513
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1513
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1513
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1314
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1490
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1418
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1358
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1502
TCP,104.20.73.155,443,192.168.1.142,443,1502
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1502
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1478
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1394
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1394
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1490
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,642
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1513
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1513
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1513
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1513
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1513
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,654
TCP,104.20.73.155,443,192.168.1.142,443,1514
TCP,104.20.73.155,443,192.168.1.142,443,913
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49375,104.20.73.155,49375,54
